date,amount,transaction_count,signup_rate
2025-01-01,9800,230,25
2025-01-02,10200,240,28
2025-01-03,9950,225,24
2025-01-04,10100,238,27
2025-01-05,10050,232,26
2025-01-06,9900,228,25
2025-01-07,10300,245,30
2025-01-08,9800,220,24
2025-01-09,10000,235,26
2025-01-10,2000,50,5
2025-01-11,10100,240,27
2025-01-12,9950,233,25
2025-01-13,10020,236,26
2025-01-14,10150,239,28
2025-01-15,9900,229,24
2025-01-16,10200,241,29
2025-01-17,10100,238,27
2025-01-18,9800,226,25
2025-01-19,10050,234,26
2025-01-20,9900,230,24
2025-01-21,10120,237,27
2025-01-22,10080,236,26
2025-01-23,9950,232,25
2025-01-24,10150,240,28
2025-01-25,9800,224,24
2025-01-26,10030,235,26
2025-01-27,10100,239,27
2025-01-28,9950,231,25
2025-01-29,10040,236,26
2025-01-30,10200,242,29
